collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13043,0,0,0,0.0,0,0.0
2020-08-09,GA,13043,0,0,0,0.0,0,0.0
2020-08-16,GA,13043,0,0,0,0.0,0,0.0
2020-08-23,GA,13043,0,0,0,0.0,0,0.0
2020-08-30,GA,13043,0,0,0,0.0,0,0.0
2020-09-06,GA,13043,5.0,5.0,0,0.0,5.0,5.0
2020-09-27,GA,13043,0,0,0,0.0,0,0.0
2020-10-04,GA,13043,0,0,0,0.0,0,0.0
2020-10-11,GA,13043,0,0,0,0.0,0,0.0
2020-10-18,GA,13043,0,0,0,0.0,0,0.0
2020-10-25,GA,13043,4.0,0,0,0.0,4.0,4.0
2020-11-01,GA,13043,0,0,0,0.0,0,0.0
2020-11-08,GA,13043,0,0,0,0.0,0,0.0
2020-11-15,GA,13043,0,0,0,0.0,0,0.0
2020-11-22,GA,13043,0,0,0,0.0,0,0.0
2020-11-29,GA,13043,0,0,0,0.0,0,0.0
2020-12-06,GA,13043,0,0,0,0.0,0,0.0
2020-12-13,GA,13043,0,0,0,0.0,0,0.0
2020-12-20,GA,13043,0,0,0,0.0,0,0.0
2020-12-27,GA,13043,4.4,4.1,0,0.0,4.4,4.4
2021-01-03,GA,13043,8.0,8.0,0,0.0,8.0,8.0
2021-01-10,GA,13043,7.6,7.6,0,0.0,7.6,7.6
2021-01-17,GA,13043,6.1,6.1,0,0.0,6.1,6.1
2021-01-24,GA,13043,8.3,8.3,0,0.0,8.3,8.3
2021-01-31,GA,13043,0,0,0,0.0,0,0.0
2021-02-07,GA,13043,0,0,0,0.0,0,0.0
2021-02-14,GA,13043,0,0,0,0.0,0,0.0
2021-02-21,GA,13043,0,0,0,0.0,0,0.0
2021-02-28,GA,13043,0,0,0,0.0,0,0.0
2021-03-07,GA,13043,0,0,0,0.0,0,0.0
2021-03-14,GA,13043,0.0,0.0,0,0.0,0.0,0.0
2021-03-21,GA,13043,0,0,0,0.0,0,0.0
2021-03-28,GA,13043,0,0,0,0.0,0,0.0
2021-04-04,GA,13043,0,0,0,0.0,0,0.0
2021-04-11,GA,13043,0.0,0.0,0,0.0,0.0,0.0
2021-04-18,GA,13043,0,0,0,0.0,0,0.0
2021-04-25,GA,13043,0.0,0.0,0,0.0,0.0,0.0
2021-05-02,GA,13043,0.0,0.0,0,0.0,0.0,0.0
2021-05-09,GA,13043,0.0,0.0,0,0.0,0.0,0.0
2021-05-16,GA,13043,0,0,0,0.0,0,0.0
2021-05-23,GA,13043,0.0,0.0,0,0.0,0.0,0.0
2021-05-30,GA,13043,0.0,0.0,0,0.0,0.0,0.0
2021-06-06,GA,13043,0.0,0.0,0,0.0,0.0,0.0
2021-06-13,GA,13043,0,0,0,0.0,0,0.0
2021-06-20,GA,13043,0,0,0,0.0,0,0.0
2021-06-27,GA,13043,0,0,0,0.0,0,0.0
2021-07-04,GA,13043,0.0,0.0,0,0.0,0.0,0.0
2021-07-11,GA,13043,0,0,0,0.0,0,0.0
2021-07-18,GA,13043,0,0,0,0.0,0,0.0
2021-07-25,GA,13043,0,0,0,0.0,0,0.0
2021-08-01,GA,13043,7.9,7.9,0,0.0,7.9,7.9
2021-08-08,GA,13043,11.9,11.9,0,0.0,11.9,11.9
2021-08-15,GA,13043,10.7,10.7,0,0.0,10.7,10.7
2021-08-22,GA,13043,14.7,14.7,0,0.0,14.7,14.7
2021-08-29,GA,13043,16.4,16.4,0,0.0,16.4,16.4
2021-09-05,GA,13043,14.7,14.7,4.0,0.0,14.7,14.7
2021-09-12,GA,13043,8.4,8.4,0,0.0,8.4,8.4
2021-09-19,GA,13043,9.1,9.1,0,0.0,9.1,9.1
2021-09-26,GA,13043,0,0,0,0.0,0,0.0
2021-10-03,GA,13043,0,0,0,0.0,0,0.0
2021-10-10,GA,13043,0,0,0,0.0,0,0.0
2021-10-17,GA,13043,0,0,0,0.0,0,0.0
2021-10-24,GA,13043,0.0,0.0,0,0.0,0.0,0.0
2021-10-31,GA,13043,0.0,0.0,0,0.0,0.0,0.0
2021-11-07,GA,13043,0.0,0.0,0,0.0,0.0,0.0
2021-11-14,GA,13043,0,0,0,0.0,0,0.0
2021-11-21,GA,13043,0,0,0,0.0,0,0.0
2021-11-28,GA,13043,0,0,0,0.0,0,0.0
2021-12-05,GA,13043,0,0,0,0.0,0,0.0
2021-12-12,GA,13043,0.0,0.0,0,0.0,0.0,0.0
2021-12-19,GA,13043,0,0,0,0.0,0,0.0
2021-12-26,GA,13043,0,0,0,0.0,0,0.0
