collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WY,56039,0,0,0,0,0,0.0
2020-08-09,WY,56039,0,0,0.0,0.0,0,0.0
2020-08-16,WY,56039,0,0,0,0.0,0,0.0
2020-08-23,WY,56039,0,0,0,0.0,0,0.0
2020-08-30,WY,56039,0,0,0,0.0,0,0.0
2020-09-06,WY,56039,0,0,0,0.0,0,0.0
2020-09-13,WY,56039,0,0,0,0.0,0,0.0
2020-09-20,WY,56039,0,0,0,0.0,0,0.0
2020-09-27,WY,56039,4.1,4.1,0,0.0,4.1,4.1
2020-10-04,WY,56039,10.0,10.0,0,0,10.3,10.0
2020-10-11,WY,56039,8.3,8.3,0,0.0,8.3,8.3
2020-10-18,WY,56039,0,0,0,0.0,0,0.0
2020-10-25,WY,56039,0,0,0,0.0,0,0.0
2020-11-01,WY,56039,4.9,4.7,0,0.0,4.9,4.9
2020-11-08,WY,56039,4.0,0,0,0,4.3,4.0
2020-11-15,WY,56039,8.4,8.4,0,0,8.6,8.4
2020-11-22,WY,56039,12.1,12.1,4.6,0.0,12.1,12.1
2020-11-29,WY,56039,13.7,13.7,4.9,0.0,13.7,13.7
2020-12-06,WY,56039,7.7,7.6,0,0,8.1,7.7
2020-12-13,WY,56039,6.1,6.1,0,0.0,6.1,6.1
2020-12-20,WY,56039,7.9,7.9,0,0.0,7.9,7.9
2020-12-27,WY,56039,0,0,0,0.0,0,0.0
2021-01-03,WY,56039,6.3,6.3,0,0.0,6.3,6.3
2021-01-10,WY,56039,9.1,9.1,0,0.0,9.1,9.1
2021-01-17,WY,56039,8.3,8.3,0,0.0,8.3,8.3
2021-01-24,WY,56039,8.0,8.0,0,0.0,8.0,8.0
2021-01-31,WY,56039,0,0,0,0.0,0,0.0
2021-02-07,WY,56039,0,0,0,0.0,0,0.0
2021-02-14,WY,56039,0,0,0,0.0,0,0.0
2021-02-21,WY,56039,0,0,0,0.0,0,0.0
2021-02-28,WY,56039,0,0,0,0.0,0,0.0
2021-03-07,WY,56039,0,0,0,0.0,0,0.0
2021-03-14,WY,56039,0,0,0,0.0,0,0.0
2021-03-21,WY,56039,0,0,0,0.0,0,0.0
2021-03-28,WY,56039,0,0,0,0.0,0,0.0
2021-04-04,WY,56039,4.1,4.1,0,0.0,4.1,4.1
2021-04-11,WY,56039,0,0,0,0.0,0,0.0
2021-04-18,WY,56039,0,0,0,0.0,0,0.0
2021-04-25,WY,56039,0,0,0,0.0,0,0.0
2021-05-02,WY,56039,0,0,0,0.0,0,0.0
2021-05-09,WY,56039,0,0,0,0.0,0,0.0
2021-05-16,WY,56039,0,0,0,0.0,0,0.0
2021-05-23,WY,56039,0,0,0,0.0,0,0.0
2021-05-30,WY,56039,0,0,0,0.0,0,0.0
2021-06-06,WY,56039,0,0,0,0.0,0,0.0
2021-06-13,WY,56039,0,0,0,0.0,0,0.0
2021-06-20,WY,56039,0.0,0.0,0,0.0,0.0,0.0
2021-06-27,WY,56039,0,0,0,0.0,0,0.0
2021-07-04,WY,56039,0,0,0,0.0,0,0.0
2021-07-11,WY,56039,0,0,0,0.0,0,0.0
2021-07-18,WY,56039,5.6,5.6,0,0.0,5.6,5.6
2021-07-25,WY,56039,0,0,0,0.0,0,0.0
2021-08-01,WY,56039,0,0,0,0.0,0,0.0
2021-08-08,WY,56039,6.6,6.6,4.1,0.0,6.6,6.6
2021-08-15,WY,56039,5.0,5.0,0,0.0,5.0,5.0
2021-08-22,WY,56039,7.7,7.6,0,0.0,7.7,7.7
2021-08-29,WY,56039,8.9,8.9,0,0.0,8.9,8.9
2021-09-05,WY,56039,8.9,8.9,0,0.0,8.9,8.9
2021-09-12,WY,56039,6.0,6.0,0,0.0,6.0,6.0
2021-09-19,WY,56039,6.4,6.4,0,0.0,6.4,6.4
2021-09-26,WY,56039,9.7,9.7,4.6,0.0,9.7,9.7
2021-10-03,WY,56039,7.3,7.3,4.6,0.0,7.3,7.3
2021-10-10,WY,56039,6.4,6.3,0,0.0,6.4,6.4
2021-10-17,WY,56039,7.9,7.9,4.0,0.0,7.9,7.9
2021-10-24,WY,56039,7.7,7.7,0,0.0,7.7,7.7
2021-10-31,WY,56039,0,0,0,0.0,0,0.0
2021-11-07,WY,56039,0,0,0,0.0,0,0.0
2021-11-14,WY,56039,4.7,4.4,0,0,4.9,4.7
2021-11-21,WY,56039,6.9,6.9,0,0.0,6.9,6.9
2021-11-28,WY,56039,0,0,0,0.0,0,0.0
2021-12-05,WY,56039,0,0,0,0.0,0,0.0
2021-12-12,WY,56039,0,0,0,0.0,0,0.0
2021-12-19,WY,56039,0,0,0,0.0,0,0.0
2021-12-26,WY,56039,0,0,0,0.0,0,0.0
