collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AL,01091,13.7,13.4,6.1,0.0,13.7,13.7
2020-08-09,AL,01091,15.3,14.4,5.6,0.0,15.3,15.3
2020-08-16,AL,01091,13.1,12.9,6.7,0.0,13.1,13.1
2020-08-23,AL,01091,8.7,8.3,4.0,0.0,8.7,8.7
2020-08-30,AL,01091,4.7,4.3,4.0,0.0,4.7,4.7
2020-09-06,AL,01091,0,0,0,0.0,0,0.0
2020-09-13,AL,01091,0,0,4.3,0.0,0,0.0
2020-09-20,AL,01091,0,0,0,0.0,0,0.0
2020-09-27,AL,01091,0,0,0,0.0,0,0.0
2020-10-04,AL,01091,0,0,0,0.0,0,0.0
2020-10-11,AL,01091,4.0,0,4.4,0.0,4.0,4.0
2020-10-18,AL,01091,6.3,6.0,0,0.0,6.3,6.3
2020-10-25,AL,01091,7.9,7.6,4.3,0.0,7.9,7.9
2020-11-01,AL,01091,7.4,7.1,0,0.0,7.4,7.4
2020-11-08,AL,01091,10.3,9.7,4.4,0,10.6,10.3
2020-11-15,AL,01091,6.9,6.7,5.3,0.0,6.9,6.9
2020-11-22,AL,01091,5.3,5.0,0,0.0,5.3,5.3
2020-11-29,AL,01091,10.4,10.0,5.4,0.0,10.4,10.4
2020-12-06,AL,01091,13.9,12.0,6.0,0.0,13.9,13.9
2020-12-13,AL,01091,17.5,16.5,5.9,0.0,17.5,17.5
2020-12-20,AL,01091,14.9,14.6,6.3,0.0,14.9,14.9
2020-12-27,AL,01091,18.1,17.4,6.7,0.0,18.1,18.1
2021-01-03,AL,01091,20.4,18.3,7.0,0.0,20.4,20.4
2021-01-10,AL,01091,19.1,17.6,6.6,0.0,19.1,19.1
2021-01-17,AL,01091,18.3,17.1,7.0,0.0,18.3,18.3
2021-01-24,AL,01091,17.1,16.7,7.1,0.0,17.1,17.1
2021-01-31,AL,01091,12.1,11.9,4.3,0.0,12.1,12.1
2021-02-07,AL,01091,8.9,7.7,5.0,0.0,8.9,8.9
2021-02-14,AL,01091,5.1,4.4,5.0,0.0,5.1,5.1
2021-02-21,AL,01091,6.9,6.3,6.0,0.0,6.9,6.9
2021-02-28,AL,01091,8.3,8.0,5.7,0.0,8.3,8.3
2021-03-07,AL,01091,7.7,7.0,4.6,0.0,7.7,7.7
2021-03-14,AL,01091,4.1,0,0,0.0,4.1,4.1
2021-03-21,AL,01091,0,0,4.7,0.0,0,0.0
2021-03-28,AL,01091,0,0,0,0.0,0,0.0
2021-04-04,AL,01091,0,0,6.1,0.0,0,0.0
2021-04-11,AL,01091,0,0.0,5.4,0.0,0,0.0
2021-04-18,AL,01091,0,0.0,5.1,0.0,0,0.0
2021-04-25,AL,01091,0.0,0.0,4.3,0.0,0.0,0.0
2021-05-02,AL,01091,0,0.0,4.7,0.0,0,0.0
2021-05-09,AL,01091,0.0,0.0,5.0,0.0,0.0,0.0
2021-05-16,AL,01091,0.0,0.0,4.1,0.0,0.0,0.0
2021-05-23,AL,01091,0.0,0.0,4.6,0.0,0.0,0.0
2021-05-30,AL,01091,0,0,4.1,0.0,0,0.0
2021-06-06,AL,01091,0.0,0.0,4.3,0.0,0.0,0.0
2021-06-13,AL,01091,0,0,4.0,0.0,0,0.0
2021-06-20,AL,01091,0,0,4.9,0.0,0,0.0
2021-06-27,AL,01091,0,0,4.4,0.0,0,0.0
2021-07-04,AL,01091,0,0,5.7,0.0,0,0.0
2021-07-11,AL,01091,0,0,6.3,0,0,0.0
2021-07-18,AL,01091,0,0,4.1,0,4.0,0.0
2021-07-25,AL,01091,6.3,6.3,6.7,0.0,6.3,6.3
2021-08-01,AL,01091,11.9,11.9,7.4,0.0,11.9,11.9
2021-08-08,AL,01091,12.4,12.3,7.4,0.0,12.4,12.4
2021-08-15,AL,01091,16.0,15.9,7.9,0.0,16.0,16.0
2021-08-22,AL,01091,20.3,19.6,6.9,0.0,20.3,20.3
2021-08-29,AL,01091,19.0,19.0,7.6,0.0,19.0,19.0
2021-09-05,AL,01091,17.6,17.6,7.4,0.0,17.6,17.6
2021-09-12,AL,01091,9.0,9.0,7.3,0.0,9.0,9.0
2021-09-19,AL,01091,8.4,8.4,6.6,0.0,8.4,8.4
2021-09-26,AL,01091,9.0,9.0,6.6,0.0,9.0,9.0
2021-10-03,AL,01091,7.1,7.1,6.3,0.0,7.1,7.1
2021-10-10,AL,01091,4.1,4.1,5.1,0.0,4.1,4.1
2021-10-17,AL,01091,0,0,4.0,0.0,0,0.0
2021-10-24,AL,01091,0,0,6.3,0.0,0,0.0
2021-10-31,AL,01091,0,0,6.1,0.0,0,0.0
2021-11-07,AL,01091,0,0,6.0,0.0,0,0.0
2021-11-14,AL,01091,0,0,5.4,0.0,0,0.0
2021-11-21,AL,01091,0,0,5.0,0.0,0,0.0
2021-11-28,AL,01091,0,0,4.9,0.0,0,0.0
2021-12-05,AL,01091,0,0,4.7,0.0,0,0.0
2021-12-12,AL,01091,0,0,0,0.0,0,0.0
2021-12-19,AL,01091,0,0,4.0,0.0,0,0.0
2021-12-26,AL,01091,5.6,5.4,4.0,0,6.0,5.6
