collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NV,32005,0,0,0,0.0,0,0.0
2020-08-09,NV,32005,0,0.0,0,0.0,0,0.0
2020-08-16,NV,32005,0,0.0,0,0.0,0,0.0
2020-08-23,NV,32005,0,0.0,0,0.0,0,0.0
2020-08-30,NV,32005,0,0.0,0,0.0,0,0.0
2020-09-06,NV,32005,0,0,0,0.0,0,0.0
2020-09-13,NV,32005,0,0,0,0.0,0,0.0
2020-09-20,NV,32005,0.0,0.0,0,0.0,0.0,0.0
2020-09-27,NV,32005,0,0,0,0.0,0,0.0
2020-10-04,NV,32005,0,0,0,0.0,0,0.0
2020-10-11,NV,32005,0,0,0,0.0,0,0.0
2020-10-18,NV,32005,0,0,0,0.0,0,0.0
2020-10-25,NV,32005,4.0,0,0,0.0,4.0,4.0
2020-11-01,NV,32005,5.4,4.1,0,0.0,5.4,5.4
2020-11-08,NV,32005,5.1,0,0,0.0,5.1,5.1
2020-11-15,NV,32005,9.9,8.9,0,0.0,9.9,9.9
2020-11-22,NV,32005,9.4,9.3,0,0.0,9.4,9.4
2020-11-29,NV,32005,8.1,8.1,0,0.0,8.1,8.1
2020-12-06,NV,32005,10.6,8.9,0,0.0,10.6,10.6
2020-12-13,NV,32005,10.6,9.7,0,0.0,10.6,10.6
2020-12-20,NV,32005,7.9,7.9,0,0.0,7.9,7.9
2020-12-27,NV,32005,6.6,5.0,0,0.0,6.6,6.6
2021-01-03,NV,32005,5.7,5.7,0,0.0,5.7,5.7
2021-01-10,NV,32005,4.3,0,0,0.0,4.3,4.3
2021-01-17,NV,32005,4.1,0,0,0.0,4.1,4.1
2021-01-24,NV,32005,5.7,5.7,0,0.0,5.7,5.7
2021-01-31,NV,32005,0,0,0,0.0,0,0.0
2021-02-07,NV,32005,0,0,0,0.0,0,0.0
2021-02-14,NV,32005,0,0,0,0.0,0,0.0
2021-02-21,NV,32005,0,0,0,0.0,0,0.0
2021-02-28,NV,32005,0,0,0,0.0,0,0.0
2021-03-07,NV,32005,0,0,0,0.0,0,0.0
2021-03-14,NV,32005,5.0,5.0,0,0.0,5.0,5.0
2021-03-21,NV,32005,0,0,0,0.0,0,0.0
2021-03-28,NV,32005,0,0,0,0.0,0,0.0
2021-04-04,NV,32005,0,0,0,0.0,0,0.0
2021-04-11,NV,32005,0,0,0,0.0,0,0.0
2021-04-18,NV,32005,0,0,0,0.0,0,0.0
2021-04-25,NV,32005,0,0,0,0.0,0,0.0
2021-05-02,NV,32005,0,0,0,0.0,0,0.0
2021-05-09,NV,32005,0,0,0,0.0,0,0.0
2021-05-16,NV,32005,0,0,0,0.0,0,0.0
2021-05-23,NV,32005,0,0,0,0.0,0,0.0
2021-05-30,NV,32005,0,0,0,0.0,0,0.0
2021-06-06,NV,32005,0,0,0,0.0,0,0.0
2021-06-13,NV,32005,0,0,0,0.0,0,0.0
2021-06-20,NV,32005,0,0,0,0.0,0,0.0
2021-06-27,NV,32005,0,0,0,0.0,0,0.0
2021-07-04,NV,32005,0,0,0,0.0,0,0.0
2021-07-11,NV,32005,0,0,0,0.0,0,0.0
2021-07-18,NV,32005,0,0,0,0.0,0,0.0
2021-07-25,NV,32005,0,0,0,0.0,0,0.0
2021-08-01,NV,32005,0,0,0,0.0,0,0.0
2021-08-08,NV,32005,5.4,5.4,0,0.0,5.4,5.4
2021-08-15,NV,32005,5.0,5.0,0,0.0,5.0,5.0
2021-08-22,NV,32005,8.3,8.3,0,0.0,8.3,8.3
2021-08-29,NV,32005,5.6,5.4,0,0.0,5.6,5.6
2021-09-05,NV,32005,9.7,9.7,5.0,0.0,9.7,9.7
2021-09-12,NV,32005,11.1,10.9,4.7,0.0,11.1,11.1
2021-09-19,NV,32005,8.4,8.4,4.4,0.0,8.4,8.4
2021-09-26,NV,32005,5.6,5.6,0,0.0,5.6,5.6
2021-10-03,NV,32005,5.7,5.7,0,0.0,5.7,5.7
2021-10-10,NV,32005,8.6,7.9,0,0.0,8.6,8.6
2021-10-17,NV,32005,6.0,6.0,0,0.0,6.0,6.0
2021-10-24,NV,32005,0,0,0,0.0,0,0.0
2021-10-31,NV,32005,6.1,6.1,0,0.0,6.1,6.1
2021-11-07,NV,32005,7.1,7.1,0,0.0,7.1,7.1
2021-11-14,NV,32005,0,0,0,0.0,0,0.0
2021-11-21,NV,32005,0,0,0,0.0,0,0.0
2021-11-28,NV,32005,0,0,0,0.0,0,0.0
2021-12-05,NV,32005,5.6,5.6,0,0.0,5.6,5.6
2021-12-12,NV,32005,0,0,0,0.0,0,0.0
2021-12-19,NV,32005,0,0,0,0.0,0,0.0
2021-12-26,NV,32005,4.0,4.0,0,0.0,4.0,4.0
