collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48179,5.4,4.9,6.0,0.0,5.4,5.4
2020-08-09,TX,48179,0,0,0,0.0,0,0.0
2020-08-16,TX,48179,0,0,0.0,0,0,0.0
2020-08-23,TX,48179,0,0,0.0,0,0,0.0
2020-08-30,TX,48179,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-06,TX,48179,0,0.0,0.0,0.0,0,0.0
2020-09-13,TX,48179,0,0.0,0,0.0,0,0.0
2020-09-20,TX,48179,0,0.0,0,0.0,0,0.0
2020-09-27,TX,48179,4.0,0,0,0.0,4.0,4.0
2020-10-04,TX,48179,0,0,0,0.0,0,0.0
2020-10-11,TX,48179,5.3,0,0,0,5.4,5.3
2020-10-18,TX,48179,10.3,7.3,5.3,0,10.4,10.3
2020-10-25,TX,48179,14.7,12.9,7.3,0.0,14.7,14.7
2020-11-01,TX,48179,22.0,17.3,9.6,0.0,22.0,22.0
2020-11-08,TX,48179,25.3,21.4,8.4,0.0,25.3,25.3
2020-11-15,TX,48179,28.7,24.9,8.4,0.0,28.7,28.7
2020-11-22,TX,48179,24.0,23.3,7.7,0.0,24.0,24.0
2020-11-29,TX,48179,17.1,16.6,8.0,0.0,17.1,17.1
2020-12-06,TX,48179,21.6,17.0,7.7,0.0,21.6,21.6
2020-12-13,TX,48179,14.7,12.3,5.7,0.0,14.7,14.7
2020-12-20,TX,48179,10.4,9.6,6.1,0.0,10.4,10.4
2020-12-27,TX,48179,9.4,9.3,5.3,0.0,9.4,9.4
2021-01-03,TX,48179,9.7,9.7,6.1,0.0,9.7,9.7
2021-01-10,TX,48179,7.1,7.1,4.4,0.0,7.1,7.1
2021-01-17,TX,48179,6.0,5.6,4.4,0.0,6.0,6.0
2021-01-24,TX,48179,5.4,5.0,6.4,0.0,5.4,5.4
2021-01-31,TX,48179,0,0,0,0.0,0,0.0
2021-02-07,TX,48179,0,0,0,0.0,0,0.0
2021-02-14,TX,48179,0,0,0,0.0,0,0.0
2021-02-21,TX,48179,0.0,0.0,0,0.0,0.0,0.0
2021-02-28,TX,48179,0,0,0,0.0,0,0.0
2021-03-07,TX,48179,0.0,0.0,0,0.0,0.0,0.0
2021-03-14,TX,48179,0,0,0,0.0,0,0.0
2021-03-21,TX,48179,0.0,0.0,0,0.0,0.0,0.0
2021-03-28,TX,48179,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-04,TX,48179,0.0,0.0,0,0.0,0.0,0.0
2021-04-11,TX,48179,0.0,0.0,0,0.0,0.0,0.0
2021-04-18,TX,48179,0,0,0,0.0,0,0.0
2021-04-25,TX,48179,0,0,0,0.0,0,0.0
2021-05-02,TX,48179,0,0.0,0,0.0,0,0.0
2021-05-09,TX,48179,0,0,0,0.0,0,0.0
2021-05-16,TX,48179,0,0,0,0.0,0,0.0
2021-05-23,TX,48179,0.0,0.0,0,0.0,0.0,0.0
2021-05-30,TX,48179,0.0,0.0,0,0.0,0.0,0.0
2021-06-06,TX,48179,0.0,0.0,0,0.0,0.0,0.0
2021-06-13,TX,48179,0,0,0,0.0,0,0.0
2021-06-20,TX,48179,0,0,0,0.0,0,0.0
2021-06-27,TX,48179,0,0,0,0.0,0,0.0
2021-07-04,TX,48179,0,0,0,0.0,0,0.0
2021-07-11,TX,48179,0,0,0,0.0,0,0.0
2021-07-18,TX,48179,0,0,0,0.0,0,0.0
2021-07-25,TX,48179,0,0,4.7,0.0,0,0.0
2021-08-01,TX,48179,5.6,5.6,5.1,0.0,5.6,5.6
2021-08-08,TX,48179,4.4,4.4,5.9,0.0,4.4,4.4
2021-08-15,TX,48179,8.6,8.6,5.7,0.0,8.6,8.6
2021-08-22,TX,48179,9.3,9.3,6.1,0.0,9.3,9.3
2021-08-29,TX,48179,7.3,7.3,5.9,0.0,7.3,7.3
2021-09-05,TX,48179,4.9,4.9,6.3,0.0,4.9,4.9
2021-09-12,TX,48179,6.9,6.9,6.6,0.0,6.9,6.9
2021-09-19,TX,48179,9.7,9.7,6.7,0.0,9.7,9.7
2021-09-26,TX,48179,12.3,12.3,5.6,0.0,12.3,12.3
2021-10-03,TX,48179,8.7,8.7,6.1,0.0,8.7,8.7
2021-10-10,TX,48179,6.7,6.7,6.1,0.0,6.7,6.7
2021-10-17,TX,48179,6.9,6.9,5.4,0.0,6.9,6.9
2021-10-24,TX,48179,5.9,5.9,5.1,0.0,5.9,5.9
2021-10-31,TX,48179,5.4,5.4,0,0.0,5.4,5.4
2021-11-07,TX,48179,6.9,6.9,0,0.0,6.9,6.9
2021-11-14,TX,48179,5.3,5.3,4.7,0.0,5.3,5.3
2021-11-21,TX,48179,7.7,7.7,5.7,0.0,7.7,7.7
2021-11-28,TX,48179,10.0,10.0,6.9,0.0,10.0,10.0
2021-12-05,TX,48179,8.6,8.6,5.1,0.0,8.6,8.6
2021-12-12,TX,48179,9.3,9.3,4.4,0.0,9.3,9.3
2021-12-19,TX,48179,8.1,8.1,4.1,0.0,8.1,8.1
2021-12-26,TX,48179,7.1,7.1,4.3,0.0,7.1,7.1
