collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WA,53025,0.0,0.0,8.4,0.0,4.8,0.0
2020-08-09,WA,53025,0,0.0,0.0,0.0,0.0,0.0
2020-08-16,WA,53025,4.9,0.0,10.0,0.0,5.4,4.9
2020-08-23,WA,53025,0.0,0.0,9.7,0.0,0.0,0.0
2020-08-30,WA,53025,4.7,4.7,10.7,0.0,4.7,4.7
2020-09-06,WA,53025,0.0,0.0,8.5,0.0,0.0,0.0
2020-09-13,WA,53025,0.0,0.0,8.0,0.0,0.0,0.0
2020-09-20,WA,53025,4.2,4.2,0.0,0.0,4.2,4.2
2020-09-27,WA,53025,6.0,6.0,0.0,0.0,6.0,6.0
2020-10-04,WA,53025,6.2,6.2,0.0,0.0,7.6,6.2
2020-10-11,WA,53025,6.0,6.0,0.0,0.0,7.5,6.0
2020-10-18,WA,53025,5.8,4.8,0.0,0.0,6.2,5.8
2020-10-25,WA,53025,4.3,0.0,10.0,0.0,4.3,4.3
2020-11-01,WA,53025,4.0,0.0,10.0,0.0,4.1,4.0
2020-11-08,WA,53025,11.4,8.3,11.3,0.0,11.4,11.4
2020-11-15,WA,53025,5.0,0.0,11.0,0.0,5.3,5.0
2020-11-22,WA,53025,10.3,6.7,11.8,0.0,10.3,10.3
2020-11-29,WA,53025,14.1,12.6,11.7,0.0,14.1,14.1
2020-12-06,WA,53025,13.4,10.9,10.9,0.0,13.4,13.4
2020-12-13,WA,53025,14.4,10.7,11.0,0.0,14.4,14.4
2020-12-20,WA,53025,10.7,6.3,10.1,0.0,10.7,10.7
2020-12-27,WA,53025,4.0,0.0,7.9,0.0,4.0,4.0
2021-01-03,WA,53025,9.7,6.4,10.7,0.0,9.7,9.7
2021-01-10,WA,53025,12.0,9.7,11.3,0.0,12.0,12.0
2021-01-17,WA,53025,7.6,6.1,9.4,0.0,7.6,7.6
2021-01-24,WA,53025,7.0,6.6,8.7,0.0,7.0,7.0
2021-01-31,WA,53025,7.1,6.3,11.6,0.0,7.1,7.1
2021-02-07,WA,53025,4.1,0.0,8.9,0.0,4.1,4.1
2021-02-14,WA,53025,0.0,0.0,7.0,0.0,0.0,0.0
2021-02-21,WA,53025,0.0,0.0,9.9,0.0,0.0,0.0
2021-02-28,WA,53025,0.0,0.0,8.6,0.0,0.0,0.0
2021-03-07,WA,53025,0.0,0.0,8.3,0.0,0.0,0.0
2021-03-14,WA,53025,0.0,0.0,8.9,0.0,0.0,0.0
2021-03-21,WA,53025,0.0,0.0,8.6,0.0,0.0,0.0
2021-03-28,WA,53025,0.0,0.0,10.1,0.0,0.0,0.0
2021-04-04,WA,53025,4.1,0.0,10.6,0.0,4.1,4.1
2021-04-11,WA,53025,5.7,5.4,10.4,0.0,5.7,5.7
2021-04-18,WA,53025,0.0,0.0,10.9,0.0,0.0,0.0
2021-04-25,WA,53025,6.3,5.7,10.9,0.0,6.4,6.3
2021-05-02,WA,53025,0.0,0.0,7.3,0.0,0.0,0.0
2021-05-09,WA,53025,5.9,5.3,11.7,0.0,5.9,5.9
2021-05-16,WA,53025,6.4,6.3,10.9,0.0,6.4,6.4
2021-05-23,WA,53025,6.4,6.4,9.7,0.0,6.4,6.4
2021-05-30,WA,53025,4.9,4.9,9.1,0.0,4.9,4.9
2021-06-06,WA,53025,5.0,5.0,9.6,0.0,5.0,5.0
2021-06-13,WA,53025,0.0,0.0,9.3,0.0,0.0,0.0
2021-06-20,WA,53025,0.0,0.0,10.9,0.0,0.0,0.0
2021-06-27,WA,53025,0.0,0.0,9.9,0.0,0.0,0.0
2021-07-04,WA,53025,0.0,0.0,9.7,0.0,0.0,0.0
2021-07-11,WA,53025,0.0,0.0,8.7,0.0,0.0,0.0
2021-07-18,WA,53025,5.0,4.3,11.1,0.0,5.1,5.0
2021-07-25,WA,53025,0.0,0.0,8.6,0.0,0.0,0.0
2021-08-01,WA,53025,4.9,4.9,11.0,0.0,4.9,4.9
2021-08-08,WA,53025,6.4,6.4,9.6,0.0,6.4,6.4
2021-08-15,WA,53025,11.6,11.1,7.0,0.0,11.6,11.6
2021-08-22,WA,53025,10.0,9.6,11.6,0.0,10.0,10.0
2021-08-29,WA,53025,12.9,12.1,10.9,0.0,12.9,12.9
2021-09-05,WA,53025,16.7,16.7,10.9,0.0,16.7,16.7
2021-09-12,WA,53025,19.7,19.7,11.9,0.0,19.7,19.7
2021-09-19,WA,53025,15.9,15.9,11.7,0.0,15.9,15.9
2021-09-26,WA,53025,15.0,14.7,10.7,0.0,15.0,15.0
2021-10-03,WA,53025,11.1,10.9,9.4,0.0,11.1,11.1
2021-10-10,WA,53025,13.7,13.7,11.9,0.0,13.7,13.7
2021-10-17,WA,53025,15.6,15.3,12.0,0.0,15.6,15.6
2021-10-24,WA,53025,14.7,14.7,10.0,0.0,14.7,14.7
2021-10-31,WA,53025,16.6,16.4,11.0,0.0,16.6,16.6
2021-11-07,WA,53025,12.1,12.1,11.0,0.0,12.1,12.1
2021-11-14,WA,53025,6.9,6.9,9.4,0.0,6.9,6.9
2021-11-21,WA,53025,6.9,6.4,10.3,0.0,6.9,6.9
2021-11-28,WA,53025,5.6,5.6,9.9,0.0,5.6,5.6
2021-12-05,WA,53025,4.0,0.0,10.0,0.0,4.0,4.0
