collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2020-08-09,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2020-08-16,WI,55029,0,0,4.0,0.0,0,0.0
2020-08-23,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2020-08-30,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2020-09-06,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2020-09-13,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2020-09-20,WI,55029,0,0,0,0.0,0,0.0
2020-09-27,WI,55029,0,0,4.6,0.0,0,0.0
2020-10-04,WI,55029,0,0,5.9,0.0,0,0.0
2020-10-11,WI,55029,5.9,5.9,7.6,0.0,5.9,5.9
2020-10-18,WI,55029,0,0,6.3,0.0,0,0.0
2020-10-25,WI,55029,0,0,0,0.0,0,0.0
2020-11-01,WI,55029,0,0,6.4,0.0,0,0.0
2020-11-08,WI,55029,4.9,4.9,6.0,0.0,4.9,4.9
2020-11-15,WI,55029,7.0,7.0,5.1,0.0,7.0,7.0
2020-11-22,WI,55029,0,0,4.3,0.0,0,0.0
2020-11-29,WI,55029,5.9,5.9,7.0,0.0,5.9,5.9
2020-12-06,WI,55029,0,0,6.1,0.0,0,0.0
2020-12-13,WI,55029,0,0,5.7,0.0,0,0.0
2020-12-20,WI,55029,0,0,4.1,0.0,0,0.0
2020-12-27,WI,55029,0,0,0,0.0,0,0.0
2021-01-03,WI,55029,0,0,4.9,0.0,0,0.0
2021-01-10,WI,55029,0,0,0,0.0,0,0.0
2021-01-17,WI,55029,0,0,0,0.0,0,0.0
2021-01-24,WI,55029,0,0,0,0.0,0,0.0
2021-01-31,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2021-02-07,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2021-02-14,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2021-02-21,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2021-02-28,WI,55029,0,0,0,0.0,0,0.0
2021-03-07,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2021-03-14,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2021-03-21,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2021-03-28,WI,55029,0,0,0,0.0,0,0.0
2021-04-04,WI,55029,0,0,0,0.0,0,0.0
2021-04-11,WI,55029,0,0,0,0.0,0,0.0
2021-04-18,WI,55029,0,0,0,0.0,0,0.0
2021-04-25,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2021-05-02,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2021-05-09,WI,55029,0,0.0,0,0.0,0,0.0
2021-05-16,WI,55029,0,0,0,0.0,0,0.0
2021-05-23,WI,55029,0,0,0,0.0,0,0.0
2021-05-30,WI,55029,0,0,0,0.0,0,0.0
2021-06-06,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2021-06-13,WI,55029,0,0,0,0.0,0,0.0
2021-06-20,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2021-06-27,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2021-07-04,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2021-07-11,WI,55029,0.0,0.0,0,0.0,0.0,0.0
2021-07-18,WI,55029,0,0,0,0.0,0,0.0
2021-07-25,WI,55029,0,0,0,0.0,0,0.0
2021-08-01,WI,55029,0,0,0,0.0,0,0.0
2021-08-08,WI,55029,0,0,0,0.0,0,0.0
2021-08-15,WI,55029,0,0,0,0.0,0,0.0
2021-08-22,WI,55029,0,0,0,0.0,0,0.0
2021-08-29,WI,55029,0,0,0,0.0,0,0.0
2021-09-05,WI,55029,0,0,0,0.0,0,0.0
2021-09-12,WI,55029,0,0,0,0.0,0,0.0
2021-09-19,WI,55029,5.1,4.9,0,0.0,5.1,5.1
2021-09-26,WI,55029,0,0,0,0.0,0,0.0
2021-10-03,WI,55029,0,0,0,0.0,0,0.0
2021-10-10,WI,55029,0,0,0,0.0,0,0.0
2021-10-17,WI,55029,0,0,0,0.0,0,0.0
2021-10-24,WI,55029,0,0,0,0.0,0,0.0
2021-10-31,WI,55029,0,0,0,0.0,0,0.0
2021-11-07,WI,55029,0,0,0,0.0,0,0.0
2021-11-14,WI,55029,0,0,0,0.0,0,0.0
2021-11-21,WI,55029,6.9,6.9,4.0,0.0,6.9,6.9
2021-11-28,WI,55029,6.9,6.9,0,0.0,6.9,6.9
2021-12-05,WI,55029,6.9,6.9,0,0.0,6.9,6.9
2021-12-12,WI,55029,4.1,4.0,0,0.0,4.1,4.1
2021-12-19,WI,55029,6.7,6.7,0,0.0,6.7,6.7
2021-12-26,WI,55029,6.7,6.7,4.0,0.0,6.7,6.7
